run,queryIndex,queryId,scenario,terminalState,outcome,totalMs,executionMs,anchorAndPersistenceMs,anchorQueueWaitMs,anchorServiceMs,retryCount,remoteRequestAttempts,receiptBytes,receiptRoot,anchorTxHash,anchorBlockHeight,auditVerified,expectedBehavior,error
1,6,livereg-2026-09-01T01-38-58-803Z-1-subject_mismatch-6,subject_mismatch,ANCHORED,UNSATISFIED,564.724,40,524.724,0.006,460.52,0,6,16185,0x2e7e26e7366422857340de04bd6e9ca384a16c549be14da732c49c05dfcf911c,0x67b5cd5a8d870a4529ffec6df3787ededd20f4f6bb8189728be22ebe09d4dfdd,1092,true,true,
1,7,livereg-2026-09-01T01-38-58-803Z-1-subject_mismatch-7,subject_mismatch,ANCHORED,UNSATISFIED,423.307,47,376.307,0.007,368.451,0,6,16185,0x76da5944c9cb4f2a3b516fa19744d47330fd22b4292cc03075a9b0179dc9d38e,0xbc361660b6e78b7fb3e1124e5964a1809c333b679ea7758f56cd4ba71ba8435e,1093,true,true,
1,8,livereg-2026-09-01T01-38-58-803Z-1-subject_mismatch-8,subject_mismatch,ANCHORED,UNSATISFIED,510.752,43,467.752,0.003,461.416,0,6,16185,0x4aca180fcd7cc5cd004480a6dd0bcccf8565bb5f9d235ab0f1a88463749438c0,0xa4d82f3d771c06aabd041bd5255486397564913519d7ed2171b52ac6a5856710,1094,true,true,
1,9,livereg-2026-09-01T01-38-58-803Z-1-subject_mismatch-9,subject_mismatch,ANCHORED,UNSATISFIED,497.86,46,451.86,0.004,446.1,0,6,16077,0xd2aa90e4990ffc03bc38de0d5066ac0eaa90fd47e48a8fc3f4c5542732438f99,0xf4489b0baed9843984bebcb527aeeefb0932e833e9607aab5d0ba572b75e92a6,1095,true,true,
1,0,livereg-2026-09-01T01-38-58-803Z-1-missing_disclosure-0,missing_disclosure,INSUFFICIENT_EVIDENCE,INSUFFICIENT,507.496,44,463.496,0.003,454.995,0,5,14206,0xa50b86d86509065cc380a042925ae155e73b831f8f8a05fa238162eeac971f28,0x932c00f355f20aa7bfc3b36e7a4606af48592dbc893baff71d43e9d7d2c668da,1096,true,true,
1,1,livereg-2026-09-01T01-38-58-803Z-1-missing_disclosure-1,missing_disclosure,INSUFFICIENT_EVIDENCE,INSUFFICIENT,503.885,43,460.885,0.002,454.192,0,5,14206,0xdb269715e0036fcb7135a82fc17b3bcb39bbc2608b870d677e05ee06314c3622,0x9eb5cbef1f36f9b0f7d0d3c0930ad0b3aa0731e411304324e2b5b9ed6224cc1d,1097,true,true,
1,2,livereg-2026-09-01T01-38-58-803Z-1-missing_disclosure-2,missing_disclosure,INSUFFICIENT_EVIDENCE,INSUFFICIENT,571.372,53,518.372,0.006,511.064,0,5,14206,0x235c4da5e3b918a9a7487bbdaf3bd7d610964a5b408c4bfa062c0624ee037efa,0x1dd4f145ba1aa0988d2545f03a4b6ac1b879fc695c3813cecb2af21a344bf3c8,1098,true,true,
1,3,livereg-2026-09-01T01-38-58-803Z-1-missing_disclosure-3,missing_disclosure,INSUFFICIENT_EVIDENCE,INSUFFICIENT,526.093,53,473.093,0.005,458.96,0,5,14206,0xf41767e4c45a1d737eab4667b503414fd3bcb0992667c5de73fb4c850c2fdbe2,0x10b636049441c198cd48d09785019b7375fbcd4affd5ba6f5a3468f214ebadb3,1099,true,true,
1,4,livereg-2026-09-01T01-38-58-803Z-1-missing_disclosure-4,missing_disclosure,INSUFFICIENT_EVIDENCE,INSUFFICIENT,487.082,53,434.082,0.009,427.71,0,5,14206,0xe166003433818277487db1277b99aa5576596385ac0efbf6ada77c1e8d9487c4,0xde129f37082fcc14bcdc3dcd0abfc7f46960f8144bd88d605eed0c32cbbd70d0,1100,true,true,
1,5,livereg-2026-09-01T01-38-58-803Z-1-missing_disclosure-5,missing_disclosure,INSUFFICIENT_EVIDENCE,INSUFFICIENT,519.138,44,475.138,0.003,465.157,0,5,14206,0x050a39705a49ed15cbdb6688dc0e4cd6da47c839eed6d69022f9259c7db904f6,0xa6678ff7f795b6651e25ba41cc40ab63b4038541377a46d2b95a06de65a9f973,1101,true,true,
